Datetime,Global_active_power,Predicted_Power,Prediction_Error,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Hour,DayOfWeek,IsWeekend,Usage_Category,High_Power_Alert,Poor_Prediction
2010-11-12 21:03:00,0.768,0.768,0.0,235.74,3.2,1.0,1.0,0.0,21,4,0,Low Usage,0,0
2010-11-12 21:08:00,0.75,0.75,0.0,236.62,3.2,1.0,1.0,0.0,21,4,0,Low Usage,0,0
2010-11-12 21:13:00,0.742,0.742,0.0,237.23,3.2,1.0,1.0,0.0,21,4,0,Low Usage,0,0
2010-11-12 21:18:00,0.658,0.658,0.0,236.74,2.8,1.0,1.0,0.0,21,4,0,Low Usage,0,0
2010-11-12 21:23:00,2.794,2.794,0.0,235.18,11.8,36.0,2.0,0.0,21,4,0,Normal Usage,0,0
2010-11-12 21:28:00,2.732,2.732,0.0,235.52,11.6,37.0,0.0,0.0,21,4,0,Normal Usage,0,0
2010-11-12 21:33:00,0.8,0.8,0.0,238.07,4.0,5.0,0.0,0.0,21,4,0,Low Usage,0,0
2010-11-12 21:38:00,0.638,0.638,0.0,237.52,2.6,0.0,0.0,0.0,21,4,0,Low Usage,0,0
2010-11-12 21:43:00,0.812,0.812,0.0,236.83,3.4,0.0,0.0,0.0,21,4,0,Low Usage,0,0
2010-11-12 21:48:00,0.716,0.716,0.0,236.45,3.0,0.0,0.0,0.0,21,4,0,Low Usage,0,0
2010-11-12 21:53:00,0.312,0.312,0.0,235.99,1.4,0.0,0.0,0.0,21,4,0,Low Usage,0,0
2010-11-12 21:58:00,0.316,0.316,0.0,237.69,1.4,0.0,0.0,0.0,21,4,0,Low Usage,0,0
2010-11-12 22:03:00,0.312,0.6230303030303033,0.31103030303030327,236.59,1.4,0.0,0.0,0.0,22,4,0,Low Usage,0,0
2010-11-12 22:08:00,0.33,0.34275757575757604,0.012757575757576023,237.46,1.4,0.0,0.0,0.0,22,4,0,Low Usage,0,0
2010-11-12 22:13:00,0.318,0.08539393939393958,0.23260606060606043,238.93,1.4,0.0,0.0,0.0,22,4,0,Low Usage,0,0
2010-11-12 22:18:00,0.504,-0.15857575757575737,0.6625757575757574,240.72,2.2,0.0,0.0,0.0,22,4,0,Low Usage,0,0
2010-11-12 22:23:00,0.412,-0.33909090909090844,0.7510909090909084,239.87,1.8,0.0,0.0,0.0,22,4,0,Low Usage,0,0
2010-11-12 22:28:00,0.336,-0.09018181818181814,0.42618181818181816,239.94,1.4,0.0,0.0,0.0,22,4,0,Low Usage,0,0
2010-11-12 22:33:00,0.328,0.2285151515151515,0.09948484848484851,241.09,1.4,0.0,0.0,0.0,22,4,0,Low Usage,0,0
2010-11-12 22:38:00,0.244,0.24363636363636382,0.00036363636363617724,241.77,1.0,0.0,0.0,0.0,22,4,0,Low Usage,0,0
2010-11-12 22:43:00,0.242,0.21784848484848496,0.024151515151515035,241.27,1.0,0.0,0.0,0.0,22,4,0,Low Usage,0,0
2010-11-12 22:48:00,0.244,0.24621212121212127,0.0022121212121212763,241.45,1.0,0.0,0.0,0.0,22,4,0,Low Usage,0,0
2010-11-12 22:53:00,0.244,0.2807878787878788,0.036787878787878814,242.07,1.0,0.0,0.0,0.0,22,4,0,Low Usage,0,0
2010-11-12 22:58:00,0.32,0.2511212121212121,0.06887878787878793,241.92,1.4,0.0,0.0,0.0,22,4,0,Low Usage,0,0
2010-11-12 23:03:00,0.35,0.2507272727272727,0.09927272727272729,242.59,1.4,0.0,0.0,0.0,23,4,0,Low Usage,0,0
2010-11-12 23:08:00,0.346,0.2593030303030303,0.08669696969696966,243.84,1.4,0.0,0.0,0.0,23,4,0,Low Usage,0,0
2010-11-12 23:13:00,0.342,0.2686363636363636,0.07336363636363641,243.43,1.4,0.0,0.0,0.0,23,4,0,Low Usage,0,0
2010-11-12 23:18:00,0.468,0.27336363636363636,0.19463636363636366,243.13,2.0,0.0,0.0,0.0,23,4,0,Low Usage,0,0
2010-11-12 23:23:00,1.138,0.35845454545454547,0.7795454545454544,241.73,4.6,0.0,0.0,0.0,23,4,0,Normal Usage,0,0
2010-11-12 23:28:00,0.748,0.649,0.09899999999999998,243.14,3.0,0.0,0.0,0.0,23,4,0,Low Usage,0,0
2010-11-12 23:33:00,0.758,0.7604242424242422,0.002424242424242218,243.69,3.0,0.0,0.0,0.0,23,4,0,Low Usage,0,0
2010-11-12 23:38:00,0.742,0.8547575757575756,0.11275757575757561,243.74,3.0,0.0,0.0,0.0,23,4,0,Low Usage,0,0
2010-11-12 23:43:00,0.676,0.9063939393939393,0.23039393939393926,243.91,2.8,0.0,0.0,0.0,23,4,0,Low Usage,0,0
2010-11-12 23:48:00,0.696,0.912969696969697,0.21696969696969703,243.93,2.8,0.0,0.0,0.0,23,4,0,Low Usage,0,0
2010-11-12 23:53:00,0.692,0.9069090909090907,0.21490909090909072,244.45,2.8,0.0,0.0,0.0,23,4,0,Low Usage,0,0
2010-11-12 23:58:00,0.688,0.8789696969696968,0.1909696969696969,244.21,2.8,0.0,0.0,0.0,23,4,0,Low Usage,0,0
2010-11-13 00:03:00,0.604,0.8454545454545455,0.24145454545454548,245.99,2.4,0.0,0.0,0.0,0,5,1,Low Usage,0,0
2010-11-13 00:08:00,0.68,0.7735757575757575,0.09357575757575742,245.41,2.8,0.0,0.0,0.0,0,5,1,Low Usage,0,0
2010-11-13 00:13:00,0.672,0.7146363636363635,0.04263636363636347,245.27,2.6,0.0,0.0,0.0,0,5,1,Low Usage,0,0
2010-11-13 00:18:00,0.596,0.6369999999999999,0.040999999999999925,244.05,2.4,0.0,0.0,0.0,0,5,1,Low Usage,0,0
2010-11-13 00:23:00,0.68,0.5457575757575757,0.13424242424242439,244.9,2.8,0.0,1.0,0.0,0,5,1,Low Usage,0,0
2010-11-13 00:28:00,0.776,0.6188181818181817,0.1571818181818183,241.74,3.2,0.0,1.0,0.0,0,5,1,Low Usage,0,0
2010-11-13 00:33:00,0.776,0.661969696969697,0.11403030303030304,242.29,3.2,0.0,1.0,0.0,0,5,1,Low Usage,0,0
2010-11-13 00:38:00,0.76,0.7059696969696971,0.05403030303030287,242.07,3.2,0.0,1.0,0.0,0,5,1,Low Usage,0,0
2010-11-13 00:43:00,0.756,0.7404242424242424,0.015575757575757576,242.54,3.2,0.0,1.0,0.0,0,5,1,Low Usage,0,0
2010-11-13 00:48:00,0.716,0.7587272727272727,0.042727272727272725,241.59,3.0,0.0,1.0,0.0,0,5,1,Low Usage,0,0
2010-11-13 00:53:00,0.564,0.7643030303030302,0.2003030303030302,241.89,2.6,0.0,1.0,0.0,0,5,1,Low Usage,0,0
2010-11-13 00:58:00,0.99,0.7174545454545455,0.27254545454545454,242.51,4.6,0.0,1.0,8.0,0,5,1,Low Usage,0,0
2010-11-13 01:03:00,1.388,0.8175757575757576,0.5704242424242423,241.54,5.6,0.0,1.0,18.0,1,5,1,Normal Usage,0,0
2010-11-13 01:08:00,1.396,1.0188181818181816,0.3771818181818183,242.76,5.6,0.0,1.0,18.0,1,5,1,Normal Usage,0,0
2010-11-13 01:13:00,1.492,1.2032121212121212,0.2887878787878788,241.82,6.2,0.0,2.0,18.0,1,5,1,Normal Usage,0,0
2010-11-13 01:18:00,1.488,1.3853636363636364,0.10263636363636364,242.3,6.2,0.0,1.0,18.0,1,5,1,Normal Usage,0,0
2010-11-13 01:23:00,1.552,1.5127878787878788,0.039212121212121254,241.66,6.4,0.0,1.0,18.0,1,5,1,Normal Usage,0,0
2010-11-13 01:28:00,1.544,1.6388181818181815,0.09481818181818147,241.39,6.4,0.0,1.0,18.0,1,5,1,Normal Usage,0,0
2010-11-13 01:33:00,0.236,1.7429090909090907,1.5069090909090908,242.37,1.0,0.0,0.0,0.0,1,5,1,Low Usage,0,1
2010-11-13 01:38:00,0.238,1.3760909090909088,1.1380909090909088,243.01,1.0,0.0,0.0,0.0,1,5,1,Low Usage,0,1
2010-11-13 01:43:00,0.236,1.0310909090909093,0.7950909090909093,242.62,1.0,0.0,0.0,0.0,1,5,1,Low Usage,0,0
2010-11-13 01:48:00,0.238,0.7083030303030305,0.47030303030303056,242.68,1.0,0.0,0.0,0.0,1,5,1,Low Usage,0,0
2010-11-13 01:53:00,0.236,0.4013333333333333,0.16533333333333333,242.67,1.0,0.0,0.0,0.0,1,5,1,Low Usage,0,0
2010-11-13 01:58:00,0.344,0.08318181818181847,0.2608181818181815,243.55,1.4,0.0,0.0,0.0,1,5,1,Low Usage,0,0
2010-11-13 02:03:00,0.414,-0.09369696969696939,0.5076969696969693,243.38,1.8,0.0,0.0,0.0,2,5,1,Low Usage,0,0
2010-11-13 02:08:00,0.392,-0.13345454545454505,0.5254545454545451,243.76,1.8,0.0,0.0,0.0,2,5,1,Low Usage,0,0
2010-11-13 02:13:00,0.24,-0.13457575757575735,0.37457575757575734,244.19,1.0,0.0,0.0,0.0,2,5,1,Low Usage,0,0
2010-11-13 02:18:00,0.238,-0.12036363636363578,0.3583636363636358,244.44,1.0,0.0,0.0,0.0,2,5,1,Low Usage,0,0
2010-11-13 02:23:00,0.236,-0.05075757575757556,0.28675757575757554,243.37,1.0,0.0,0.0,0.0,2,5,1,Low Usage,0,0
2010-11-13 02:28:00,0.238,0.08857575757575775,0.14942424242424224,245.14,1.0,0.0,0.0,0.0,2,5,1,Low Usage,0,0
2010-11-13 02:33:00,0.238,0.2866969696969697,0.04869696969696968,244.39,1.0,0.0,0.0,0.0,2,5,1,Low Usage,0,0
2010-11-13 02:38:00,0.288,0.26672727272727276,0.02127272727272722,244.94,1.4,0.0,0.0,0.0,2,5,1,Low Usage,0,0
2010-11-13 02:43:00,0.416,0.2637575757575757,0.1522424242424243,244.66,1.8,0.0,0.0,0.0,2,5,1,Low Usage,0,0
2010-11-13 02:48:00,0.334,0.3007575757575757,0.033242424242424295,244.04,1.4,0.0,0.0,0.0,2,5,1,Low Usage,0,0
